
# Curve 0 of 1, 33 points
# Curve title: "f using (bin($3)):(1./(STATS_records*width))"
# x y type
 0.025  0.028  i
 0.075  0.0818  i
 0.125  0.1246  i
 0.175  0.182  i
 0.225  0.2256  i
 0.275  0.2736  i
 0.325  0.3122  i
 0.375  0.3678  i
 0.425  0.428  i
 0.475  0.463  i
 0.525  0.5058  i
 0.575  0.5298  i
 0.625  0.5778  i
 0.675  0.6252  i
 0.725  0.6622  i
 0.775  0.708  i
 0.825  0.7282  i
 0.875  0.7844  i
 0.925  0.7776  i
 0.975  0.8148  i
 1.025  0.8602  i
 1.075  0.885  i
 1.125  0.904  i
 1.175  0.9426  i
 1.225  0.9432  i
 1.275  0.9438  i
 1.325  0.979  i
 1.375  0.9614  i
 1.425  0.978  i
 1.475  0.9902  i
 1.525  0.9866  i
 1.575  0.4256  i


